Sugar Table,Sugar Field,Salesforce Object,Salesforce Field,Vlookup Type
accounts,account_type,Account,Type,
accounts,billing_address_country,Account,BillingCountry,Country
accounts_cstm,central_control_brand_c,Account,central_control_brand__c,
accounts_cstm,control_system_c,Account,control_system__c,
accounts_cstm,controller_brand_type_c,Account,controller_brand_type__c,
accounts_cstm,course_category_c,Account,course_category__c,
accounts_cstm,course_type_c,Account,course_type__c,
accounts_cstm,customer_marketing_priority_c,Account,customer_marketing_priority__c,
accounts_cstm,customer_type_category_c,Account,customer_type_category__c,
accounts_cstm,expired_c,Account,expired__c,
accounts_cstm,golf_holes_type_c,Account,golf_holes_type__c,
accounts_cstm,hunter_product_samples_c,Account,hunter_product_samples__c,
accounts_cstm,irrigation_design_projects_c,Account,irrigation_design_projects__c,
accounts_cstm,irrigation_install_projects_c,Account,irrigation_install_projects__c,
accounts_cstm,level_c,Account,level__c,
accounts_cstm,mailing_preference_c,Account,mailing_preference__c,
accounts_cstm,number_of_installation_crews_c,Account,number_of_installation_crews__c,
accounts_cstm,pcp_points_on_hold_c,Account,pcp_points_on_hold__c,
accounts_cstm,pilot_version_c,Account,pilot_version__c,
accounts_cstm,preferred_language_list_c,Account,preferred_language_list__c,
accounts_cstm,referral_program_c,Account,referral_program__c,
accounts_cstm,rotor_brand_c,Account,rotor_brand__c,
accounts_cstm,rotor_type_c,Account,rotor_type__c,
accounts_cstm,specialty_list_c,Account,specialty_list__c,
leads,alt_address_country,Lead,Alt_Address_Country__c,Country
leads,alt_address_state,Lead,Alt_Address_State__c,
leads,lead_source,Lead,LeadSource,
leads,preferred_language,Lead,preferred_language__c,
leads,salutation,Lead,Salutation,
leads,status,Lead,Status,
leads_cstm,customer_type_category_c,Lead,Industry,
contacts,salutation,Contact,Salutation,
contacts,preferred_language,Contact,preferred_language_list__c,
contacts_cstm,customer_marketing_priority_c,Contact,customer_marketing_priority__c,
contacts_cstm,mailing_preference_c,Contact,mailing_preference__c,
contacts_cstm,preferred_language_list_c,Contact,preferred_language_list__c,
contacts_cstm,pp_residential_rotor_c,Contact,pp_residential_rotor__c,
contacts_cstm,pp_commercial_rotor_c,Contact,ppommercial_rotor__c,
contacts_cstm,pp_spray_head_c,Contact,pp_spray_head__c,
contacts_cstm,pp_spray_nozzle_c,Contact,pp_spray_nozzle__c,
contacts_cstm,pp_hi_efficency_nozzle_c,Contact,pp_hi_efficency_nozzle__c,
contacts_cstm,pp_residential_valve_c,Contact,pp_residential_valve__c,
contacts_cstm,pp_commercial_valve_c,Contact,ppommercial_valve__c,
contacts_cstm,pp_residential_controller_c,Contact,pp_residentialcontroller__c,
contacts_cstm,pp_commercial_controller_c,Contact,ppommercialontroller__c,
contacts_cstm,pp_sensor_c,Contact,pp_sensor__c,
contacts_cstm,pp_micro_irrigation_c,Contact,pp_micro_irrigation__c,
contacts_cstm,pp_golf_rotor_c,Contact,pp_golf_rotor__c,
contacts_cstm,pp_golf_controller_c,Contact,pp_golfontroller__c,
contacts_cstm,preferred_design_software_c,Contact,preferred_design_software__c,
contacts_cstm,customer_type_category_c,Contact,customer_type_category__c,
contacts_cstm,email_group_c,Contact,email_group__c,
opportunities,opportunity_type,Opportunity,Type,
opportunities,sales_stage,Opportunity,StageName,
opportunities_cstm,loss_reason_c,Opportunity,won_loss_reason__c,
opportunities_cstm,probability_category_c,Opportunity,ForecastCategory,
fst_field_service_tickets,reason_for_request,Case,Reason,
fst_field_service_tickets_cstm,request_status_c,Case,Status,
hi_homeowners,salutation,Contact,Salutation,
